# keyframe format v1
fps 0

0 I -1
55 I -1
116 I -1
140 I -1
368 I -1
559 I -1
588 I -1
615 I -1
835 I -1
1116 I -1
1152 I -1
1289 I -1
1343 I -1
1453 I -1
1498 I -1
1636 I -1
1678 I -1
1981 I -1
2053 I -1
2095 I -1
2134 I -1
2164 I -1
2191 I -1
2227 I -1
2253 I -1
2269 I -1
2317 I -1
2357 I -1
2358 I -1
2359 I -1
2360 I -1
2380 I -1
2419 I -1
2484 I -1
2503 I -1
2552 I -1
2559 I -1
2608 I -1
2685 I -1
2857 I -1
2887 I -1
2926 I -1
2947 I -1
2974 I -1
3012 I -1
3028 I -1
3064 I -1
3154 I -1
3244 I -1
3343 I -1
3385 I -1
3437 I -1
3492 I -1
3582 I -1
3663 I -1
3711 I -1
3837 I -1
3938 I -1
3973 I -1
4003 I -1
4097 I -1
4128 I -1
4495 I -1
4670 I -1
4996 I -1
5116 I -1
5197 I -1
5311 I -1
5645 I -1
5681 I -1
5753 I -1
5933 I -1
6069 I -1
6151 I -1
6247 I -1
6276 I -1
6410 I -1
6573 I -1
6722 I -1
6841 I -1
6859 I -1
6907 I -1
6938 I -1
6967 I -1
7003 I -1
7075 I -1
7105 I -1
7171 I -1
7249 I -1
7297 I -1
7325 I -1
7384 I -1
7426 I -1
7542 I -1
7649 I -1
7661 I -1
7757 I -1
7802 I -1
7850 I -1
7886 I -1
7943 I -1
7995 I -1
8067 I -1
8172 I -1
8268 I -1
8323 I -1
8371 I -1
8401 I -1
8502 I -1
8605 I -1
8668 I -1
8800 I -1
8849 I -1
8885 I -1
8917 I -1
9008 I -1
9057 I -1
9215 I -1
9254 I -1
9356 I -1
9404 I -1
9587 I -1
9614 I -1
9780 I -1
9822 I -1
10226 I -1
10367 I -1
10547 I -1
10571 I -1
10602 I -1
10716 I -1
10884 I -1
10923 I -1
10965 I -1
11289 I -1
11319 I -1
11366 I -1
11435 I -1
11510 I -1
11575 I -1
11688 I -1
11747 I -1
11849 I -1
11908 I -1
12016 I -1
12085 I -1
12131 I -1
12275 I -1
12435 I -1
12778 I -1
12835 I -1
12979 I -1
13063 I -1
13108 I -1
13360 I -1
13456 I -1
13504 I -1
13576 I -1
13618 I -1
13856 I -1
13949 I -1
14021 I -1
14069 I -1
14183 I -1
14229 I -1
14301 I -1
14517 I -1
14570 I -1
14727 I -1
14797 I -1
15096 I -1
15230 I -1
15446 I -1
15476 I -1
15602 I -1
15633 I -1
15747 I -1
15756 I -1
15840 I -1
16056 I -1
16176 I -1
16248 I -1
16368 I -1
16470 I -1
16554 I -1
16584 I -1
16617 I -1
16779 I -1
16829 I -1
16848 I -1
16878 I -1
16965 I -1
17016 I -1
17073 I -1
17361 I -1
17645 I -1
17669 I -1
17781 I -1
17874 I -1
18208 I -1
18266 I -1
18354 I -1
18480 I -1
18519 I -1
18647 I -1
18695 I -1
18719 I -1
18839 I -1
18968 I -1
19088 I -1
19320 I -1
19362 I -1
19470 I -1
19589 I -1
19709 I -1
19794 I -1
19956 I -1
20026 I -1
20167 I -1
20212 I -1
20475 I -1
20675 I -1
20711 I -1
20788 I -1
20809 I -1
20825 I -1
20836 I -1
20956 I -1
20992 I -1
21134 I -1
21278 I -1
21326 I -1
21374 I -1
21460 I -1
21532 I -1
21635 I -1
21725 I -1
21785 I -1
21880 I -1
21958 I -1
22018 I -1
22058 I -1
22140 I -1
22272 I -1
22344 I -1
22560 I -1
22590 I -1
22636 I -1
22742 I -1
22803 I -1
22828 I -1
22972 I -1
23063 I -1
23217 I -1
23385 I -1
23457 I -1
23541 I -1
23581 I -1
23620 I -1
23817 I -1
23913 I -1
23961 I -1
24111 I -1
24181 I -1
24259 I -1
24340 I -1
24478 I -1
24508 I -1
24616 I -1
24652 I -1
25108 I -1
25198 I -1
25282 I -1
25378 I -1
25426 I -1
25486 I -1
25642 I -1
25690 I -1
25762 I -1
25858 I -1
26155 I -1
26226 I -1
26322 I -1
26365 I -1
26461 I -1
26509 I -1
26569 I -1
26617 I -1
26725 I -1
26803 I -1
26911 I -1
27013 I -1
27211 I -1
27283 I -1
27322 I -1
27547 I -1
27595 I -1
27619 I -1
27685 I -1
27829 I -1
27889 I -1
28112 I -1
28308 I -1
28410 I -1
28470 I -1
28524 I -1
28679 I -1
28732 I -1
28778 I -1
28838 I -1
28877 I -1
28903 I -1
28983 I -1
29031 I -1
29095 I -1
29213 I -1
29237 I -1
29309 I -1
29414 I -1
29558 I -1
29690 I -1
29768 I -1
29870 I -1
29993 I -1
30041 I -1
30077 I -1
30173 I -1
30203 I -1
30378 I -1
30558 I -1
30642 I -1
31062 I -1
31146 I -1
31233 I -1
31326 I -1
31384 I -1
31414 I -1
31569 I -1
31597 I -1
31626 I -1
31722 I -1
31888 I -1
31927 I -1
31935 I -1
31941 I -1
31950 I -1
31960 I -1
31965 I -1
33237 I -1
33726 I -1
33738 I -1
33767 I -1
33857 I -1
34045 I -1
