# keyframe format v1
fps 0

0 I -1
34 I -1
59 I -1
140 I -1
183 I -1
270 I -1
297 I -1
372 I -1
432 I -1
458 I -1
579 I -1
771 I -1
871 I -1
967 I -1
1015 I -1
1033 I -1
1039 I -1
1063 I -1
1067 I -1
1136 I -1
1248 I -1
1411 I -1
1463 I -1
1533 I -1
1721 I -1
1867 I -1
2054 I -1
2176 I -1
2244 I -1
2664 I -1
2748 I -1
2806 I -1
3109 I -1
3181 I -1
3223 I -1
3262 I -1
3292 I -1
3319 I -1
3355 I -1
3381 I -1
3397 I -1
3445 I -1
3485 I -1
3486 I -1
3487 I -1
3488 I -1
3508 I -1
3547 I -1
3611 I -1
3631 I -1
3680 I -1
3687 I -1
3736 I -1
3813 I -1
3985 I -1
4015 I -1
4054 I -1
4075 I -1
4102 I -1
4140 I -1
4156 I -1
4192 I -1
4282 I -1
4372 I -1
4471 I -1
4513 I -1
4565 I -1
4620 I -1
4710 I -1
4791 I -1
4839 I -1
4963 I -1
5008 I -1
5044 I -1
5098 I -1
5182 I -1
5218 I -1
5266 I -1
5437 I -1
5473 I -1
5829 I -1
5898 I -1
5950 I -1
5979 I -1
6230 I -1
6461 I -1
6524 I -1
6608 I -1
6632 I -1
6683 I -1
6813 I -1
6855 I -1
6915 I -1
7008 I -1
7060 I -1
7114 I -1
7213 I -1
7265 I -1
7323 I -1
7369 I -1
7440 I -1
7577 I -1
7667 I -1
7821 I -1
7964 I -1
8019 I -1
8166 I -1
8426 I -1
8450 I -1
8571 I -1
8636 I -1
8730 I -1
8934 I -1
9056 I -1
9170 I -1
9207 I -1
9385 I -1
9419 I -1
9696 I -1
9778 I -1
9927 I -1
9969 I -1
9994 I -1
10159 I -1
10235 I -1
10451 I -1
10523 I -1
10631 I -1
10637 I -1
10643 I -1
10646 I -1
10697 I -1
10829 I -1
10997 I -1
11169 I -1
11204 I -1
11358 I -1
11433 I -1
11481 I -1
11541 I -1
11666 I -1
11838 I -1
12036 I -1
12180 I -1
12354 I -1
12450 I -1
12828 I -1
12864 I -1
13020 I -1
13115 I -1
13163 I -1
13259 I -1
13355 I -1
13463 I -1
13559 I -1
13643 I -1
13751 I -1
13877 I -1
13901 I -1
14003 I -1
14039 I -1
14075 I -1
14223 I -1
14484 I -1
14589 I -1
14707 I -1
14784 I -1
14829 I -1
15045 I -1
15138 I -1
15384 I -1
15570 I -1
15748 I -1
15844 I -1
15880 I -1
15943 I -1
16039 I -1
16305 I -1
16746 I -1
17038 I -1
17374 I -1
17398 I -1
17486 I -1
17572 I -1
17591 I -1
17718 I -1
17838 I -1
18034 I -1
18230 I -1
18281 I -1
18590 I -1
18794 I -1
19008 I -1
19217 I -1
19371 I -1
19574 I -1
19854 I -1
20058 I -1
20142 I -1
20226 I -1
20230 I -1
20286 I -1
20332 I -1
20356 I -1
20464 I -1
20576 I -1
20620 I -1
20669 I -1
20835 I -1
20877 I -1
20956 I -1
21254 I -1
21296 I -1
21462 I -1
21612 I -1
21648 I -1
21743 I -1
22086 I -1
22111 I -1
22168 I -1
22246 I -1
22348 I -1
22357 I -1
22402 I -1
22484 I -1
22523 I -1
22551 I -1
22648 I -1
22693 I -1
22793 I -1
22822 I -1
22995 I -1
23085 I -1
23180 I -1
23262 I -1
23310 I -1
23332 I -1
23352 I -1
23388 I -1
23451 I -1
23553 I -1
23638 I -1
23683 I -1
23921 I -1
23972 I -1
24110 I -1
24188 I -1
24272 I -1
24308 I -1
24428 I -1
24546 I -1
24588 I -1
24672 I -1
24735 I -1
24936 I -1
25231 I -1
25386 I -1
25420 I -1
25472 I -1
25511 I -1
25545 I -1
25590 I -1
25638 I -1
25710 I -1
25748 I -1
25825 I -1
25965 I -1
26016 I -1
26094 I -1
26226 I -1
26508 I -1
26604 I -1
26622 I -1
26757 I -1
26808 I -1
26856 I -1
26976 I -1
26978 I -1
26982 I -1
26984 I -1
27048 I -1
27108 I -1
27168 I -1
27264 I -1
27372 I -1
27665 I -1
27698 I -1
27825 I -1
27999 I -1
28068 I -1
28122 I -1
28158 I -1
28239 I -1
28335 I -1
28435 I -1
28557 I -1
28591 I -1
28711 I -1
28765 I -1
28799 I -1
29033 I -1
29141 I -1
29285 I -1
29314 I -1
29375 I -1
29524 I -1
29652 I -1
29711 I -1
29828 I -1
29864 I -1
29924 I -1
29960 I -1
30043 I -1
30175 I -1
30247 I -1
30307 I -1
30355 I -1
30400 I -1
30406 I -1
30417 I -1
30421 I -1
30439 I -1
30547 I -1
30577 I -1
30654 I -1
30670 I -1
30786 I -1
30912 I -1
30966 I -1
31021 I -1
31129 I -1
31201 I -1
31327 I -1
31459 I -1
31591 I -1
31840 I -1
34045 I -1
