# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 8160 0 0 23118 22578
p 2 0 4802 3358 16618 6086
p 2 0 7023 1137 30161 8997
p 2 0 8131 29 40396 11464
p 2 0 8019 141 44191 11425
p 2 0 8143 17 47456 12654
p 2 0 8139 21 61267 12835
p 2 0 8148 12 59073 14006
p 2 0 8137 23 65365 13865
p 2 22 8134 4 67829 15894
p 2 0 8131 29 67082 14901
p 2 122 8037 1 74860 18431
p 2 124 8027 9 77104 17859
p 2 205 7953 2 79866 19640
p 2 589 7568 3 84489 20119
p 2 302 7858 0 81161 19984
p 2 43 8111 6 74942 17465
p 2 47 8113 0 72726 18615
p 2 49 8109 2 71873 17166
p 2 40 8120 0 71257 18506
p 2 30 8122 8 74787 17208
p 2 0 8156 4 51311 17070
p 2 0 8141 19 55241 16266
p 2 0 8143 17 39522 16080
p 2 0 7682 478 26865 12660
p 2 0 8134 26 27506 12885
p 2 0 6581 1579 16813 8768
p 2 0 7538 622 16183 9206
p 2 0 6117 2043 14330 7738
p 2 0 6911 1249 14639 8344
p 2 0 5597 2563 12930 7043
p 2 0 6759 1401 14598 8153
p 2 0 5594 2566 13284 6982
p 2 0 6242 1918 14429 7665
p 2 0 5551 2609 12957 6900
p 2 0 6272 1888 13869 7601
p 2 0 5518 2642 12759 6802
p 2 0 5965 2195 13227 7224
p 2 0 5342 2818 12567 6655
p 2 0 5859 2301 14018 7239
p 2 0 5614 2546 13029 6916
p 2 0 5884 2276 13372 7148
p 2 0 5472 2688 12624 6693
p 2 0 5647 2513 12829 6867
p 2 0 5231 2929 12272 6508
p 2 0 5469 2691 13521 6862
p 2 0 5451 2709 12597 6691
p 2 0 5711 2449 13359 7015
p 2 0 7391 769 17462 8801
p 2 0 5342 2818 11540 6491
p 2 0 5864 2296 12805 6985
p 2 0 5382 2778 12379 6589
p 2 0 5679 2481 13400 6917
p 2 0 5578 2582 12901 6814
p 2 0 5385 2775 12657 6627
p 2 0 5305 2855 12784 6595
p 2 0 5253 2907 12332 6502
p 2 0 5226 2934 12216 6417
p 2 0 5176 2984 12304 6440
p 2 0 5182 2978 12627 6500
p 2 0 5428 2732 12185 6659
i 2 8160 0 0 92472 26489
p 2 15 7398 747 36295 11214
p 2 11 7538 611 31129 10874
p 2 3 7697 460 28482 10711
p 2 2 7739 419 25105 10559
p 2 4 7766 390 24807 10586
p 2 4 7842 314 25684 10427
p 2 9 7942 209 20728 10338
p 2 4 7764 392 22025 10290
p 2 1 7930 229 23603 10459
p 2 6 7802 352 25419 10716
p 2 4 7858 298 25002 10658
p 2 12 7886 262 27594 10932
p 2 16 7970 174 27048 11156
p 2 0 7855 305 23814 10587
p 2 4 7979 177 25248 10798
p 2 2 7885 273 21309 10158
p 2 6 7908 246 25680 10427
p 2 5 7775 380 27110 10785
p 2 6 7929 225 29560 10656
p 2 6 7916 238 23815 10586
p 2 5 8038 117 30366 10857
p 2 1 7929 230 30111 11037
p 2 4 8012 144 25411 10697
p 2 3 7903 254 27476 10718
p 2 4 7941 215 22331 10263
p 2 14 7962 184 20365 10060
p 2 2 7948 210 28538 10998
p 2 3 7915 242 24691 10562
p 2 2 7900 258 25192 10687
p 2 11 7896 253 31021 11066
p 2 1 7914 245 24667 10787
p 2 6 7972 182 22765 10456
p 2 2 7762 396 22355 10289
p 2 2 7940 218 22610 10402
p 2 10 7978 172 29051 11285
p 2 6 7595 559 24222 10420
p 2 2 7751 407 24964 10233
p 2 2 7785 373 25509 10461
p 2 0 7846 314 21760 10103
p 2 0 7897 263 28850 10608
p 2 4 7820 336 22832 9944
p 2 1 7940 219 32170 10440
p 2 0 7864 296 27040 10264
p 2 8 7885 267 30563 10475
p 2 1 7834 325 23519 10071
p 2 2 7818 340 28682 10470
p 2 0 7889 271 22045 9962
p 2 2 7961 197 32958 10514
p 2 1 7963 196 24074 10037
p 2 3 7909 248 23265 9865
p 2 0 7808 352 30629 10402
p 2 0 8031 129 23177 9837
p 2 0 7838 322 20330 9591
p 2 0 8014 146 29765 10501
p 2 10 7872 278 24338 10050
p 2 0 8032 128 26108 10095
p 2 3 7953 204 35581 10765
p 2 1 8016 143 20793 9897
p 2 0 7964 196 22191 9942
p 2 0 8021 139 32374 10563
p 2 0 7922 238 21604 9909
p 2 1 8045 114 21664 9781
p 2 2 7904 254 30322 10337
p 2 2 8059 99 23598 10096
p 2 2 7922 236 23406 10103
p 2 0 8009 151 33671 10794
p 2 0 7858 302 26203 9909
p 2 1 7963 196 25277 10033
p 2 0 7899 261 22705 9649
p 2 0 8057 103 19991 9691
p 2 0 7953 207 19805 9219
p 2 1 8055 104 22401 9578
p 2 1 8014 145 23767 9753
p 2 0 7993 167 30716 10465
p 2 0 7905 255 22987 9565
