# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 8160 0 0 23118 22578
p 2 0 3675 4485 13122 4502
p 2 0 7257 903 38176 9675
p 2 0 7773 387 38690 9695
p 2 117 7908 135 49424 11201
p 2 155 7957 48 50139 12326
p 2 1246 6649 265 63273 16197
p 2 811 7310 39 63644 15962
p 2 1282 6808 70 67806 17358
p 2 1573 6578 9 70458 19607
p 2 1455 6628 77 70523 18306
p 2 2367 5788 5 73979 21667
p 2 2353 5792 15 77482 20732
p 2 2660 5492 8 80392 23231
p 2 3293 4849 18 80869 23171
p 2 2877 5283 0 81436 23483
p 2 1973 6167 20 76750 20167
p 2 1914 6246 0 72679 21003
p 2 1484 6657 19 70148 18824
p 2 1359 6800 1 78137 20630
p 2 1208 6935 17 70704 18273
p 2 44 8111 5 57870 16153
p 2 101 8028 31 56804 14726
p 2 0 8146 14 42166 15016
p 2 0 7233 927 22545 10986
p 2 0 8084 76 28138 13290
p 2 0 5707 2453 11671 7606
p 2 0 5396 2764 9254 6819
p 2 0 3895 4265 6320 4837
p 2 0 4056 4104 6203 4918
p 2 0 3062 5098 5085 3947
p 2 0 3793 4367 5696 4579
p 2 0 3359 4801 5968 4229
p 2 0 3389 4771 5196 4198
p 2 0 5173 2987 25365 7221
p 2 0 4130 4030 7395 4956
p 2 0 2312 5848 4318 3220
p 2 0 4874 3286 18444 6386
p 2 0 3167 4993 6251 4067
p 2 0 2730 5430 4579 3567
p 2 1 4819 3340 26058 6992
p 2 0 3566 4594 6537 4390
p 2 0 2055 6105 3880 2939
p 2 1 4901 3258 23637 6864
p 2 0 3128 5032 6315 4044
p 2 0 2692 5468 4760 3509
p 2 0 4012 4148 17793 5530
p 2 0 3401 4759 7299 4290
p 2 0 3988 4172 8369 4919
p 2 1 5857 2302 27316 7719
p 2 0 3327 4833 6717 4206
p 2 0 2553 5607 5029 3456
p 2 0 2166 5994 4540 3059
p 2 0 1909 6251 3591 2809
p 2 0 1305 6855 2719 2254
p 2 0 1352 6808 2658 2275
p 2 0 854 7306 2127 1851
p 2 0 1260 6900 2660 2191
p 2 0 900 7260 2386 1925
p 2 0 1071 7089 2401 2035
p 2 0 1391 6769 3012 2333
i 2 8160 0 0 72378 26503
p 2 0 5783 2377 9036 6549
p 2 0 5817 2343 8669 6388
p 2 0 5710 2450 8924 6303
p 2 0 5659 2501 8981 6272
p 2 0 5789 2371 9315 6326
p 2 0 5820 2340 9279 6401
p 2 0 6094 2066 9727 6610
p 2 0 6281 1879 10328 6821
p 2 0 6314 1846 9682 6789
p 2 0 6270 1890 9874 6808
p 2 0 6276 1884 9998 6824
p 2 0 6175 1985 9533 6692
p 2 0 6480 1680 10089 6910
p 2 0 6153 2007 9601 6712
p 2 0 6427 1733 10245 7017
p 2 0 6163 1997 9659 6707
p 2 0 6653 1507 10008 7073
p 2 0 6290 1870 9807 6824
p 2 0 6365 1795 9814 6896
p 2 0 5899 2261 9409 6608
p 2 0 6419 1741 10501 7016
p 2 0 6301 1859 9547 6849
p 2 0 6724 1436 10209 7206
p 2 0 6295 1865 10029 6903
p 2 0 6536 1624 9872 7049
p 2 0 6247 1913 9578 6776
p 2 0 6594 1566 10019 7113
p 2 0 6114 2046 9558 6741
p 2 0 6572 1588 10536 7142
p 2 0 6168 1992 9387 6754
p 2 0 6618 1542 9992 7083
p 2 0 6457 1703 9947 6974
p 2 0 6339 1821 9610 6851
p 2 0 6279 1881 9956 6871
p 2 0 7220 940 12955 8029
p 2 0 6240 1920 9577 6868
p 2 0 6503 1657 10458 7117
p 2 0 6153 2007 9747 6810
p 2 0 6244 1916 9898 6861
p 2 0 6068 2092 9505 6685
p 2 0 6382 1778 10034 6991
p 2 0 6045 2115 9828 6716
p 2 0 6428 1732 10103 7067
p 2 0 6048 2112 9556 6707
p 2 0 6523 1637 10210 7082
p 2 0 6212 1948 9697 6870
p 2 0 6437 1723 10046 7002
p 2 0 6026 2134 9501 6660
p 2 0 6501 1659 9947 7045
p 2 0 6327 1833 10210 6963
p 2 0 6583 1577 9727 7050
p 2 0 6161 1999 9670 6826
p 2 0 6328 1832 9981 6963
p 2 0 6274 1886 9540 6851
p 2 0 6310 1850 9834 6916
p 2 0 6166 1994 9660 6817
p 2 0 6399 1761 10019 7017
p 2 0 6172 1988 10239 6846
p 2 0 6565 1595 9854 7091
p 2 0 6064 2096 9623 6753
p 2 0 6415 1745 10229 7072
p 2 0 6110 2050 9425 6751
p 2 0 6514 1646 10044 7048
p 2 0 6128 2032 9580 6795
p 2 0 6474 1686 10026 7058
p 2 0 6060 2100 9780 6794
i 2 8160 0 0 64635 25028
p 2 0 3050 5110 4991 3738
p 2 0 2951 5209 4503 3612
p 2 0 1630 6530 3100 2515
p 2 0 1363 6797 2719 2277
p 2 0 1039 7121 2406 1997
p 2 0 982 7178 2234 1941
p 2 0 1150 7010 2557 2089
p 2 0 739 7421 1996 1731
p 2 0 1048 7112 2622 2016
p 2 0 1042 7118 2372 1993
p 2 0 1206 6954 2541 2130
p 2 7 696 7457 2357 1746
p 2 0 1075 7085 2514 2024
p 2 0 1031 7129 2261 1968
p 2 0 1150 7010 2978 2113
p 2 0 3261 4899 5329 3921
p 2 0 2666 5494 4563 3393
p 2 1 2088 6071 3819 2911
p 2 0 2231 5929 3590 2979
p 2 0 1498 6662 2840 2350
p 2 7 1529 6624 3145 2399
p 2 0 1137 7023 2312 2031
p 2 0 1439 6721 2665 2274
p 2 0 864 7296 2630 1859
p 2 0 1220 6940 2425 2115
p 2 0 1362 6798 2853 2259
p 2 0 1836 6324 3481 2640
p 2 0 1083 7077 2368 1996
p 2 0 1295 6865 2512 2173
p 2 0 702 7458 1947 1712
p 2 0 966 7194 2144 1891
p 2 0 713 7447 1870 1686
p 2 0 885 7275 2396 1873
p 2 0 665 7495 1861 1652
p 2 0 946 7214 2419 1921
p 2 0 847 7313 2080 1811
p 2 0 1077 7083 2278 2018
p 2 0 760 7400 1955 1744
p 2 9 1254 6897 3109 2193
p 2 0 1108 7052 2291 2016
p 2 0 1123 7037 2219 2011
p 2 0 676 7484 2188 1705
p 2 0 775 7385 1959 1755
p 2 0 1236 6924 2529 2116
p 2 0 1338 6822 3029 2216
p 2 0 675 7485 1912 1683
p 2 0 1060 7100 2214 1969
p 2 0 616 7544 2138 1656
p 2 0 752 7408 1954 1744
p 2 0 630 7530 1810 1643
p 2 0 989 7171 2509 1959
p 2 0 793 7367 2048 1782
p 2 0 1017 7143 2357 1960
p 2 9 1090 7061 2934 2064
p 2 0 1294 6866 2450 2173
p 2 0 1124 7036 2234 2018
p 2 0 1029 7131 2165 1957
p 2 0 896 7264 1975 1823
p 2 0 906 7254 2048 1851
p 2 0 628 7532 2097 1656
p 2 0 859 7301 1950 1802
p 2 0 1334 6826 2603 2194
p 2 0 1172 6988 2626 2094
p 2 0 2297 5863 3606 3021
p 2 0 2102 6058 3157 2805
p 2 0 1697 6463 2801 2465
p 2 0 1098 7062 2190 1995
p 2 0 996 7164 2142 1933
p 2 0 1448 6712 2524 2273
p 2 0 983 7177 2045 1893
p 2 0 1287 6873 2695 2190
i 2 8160 0 0 115641 30330
p 2 0 5802 2358 10203 6493
p 2 896 6827 437 68856 16663
p 2 0 7592 568 22246 9753
p 2 441 7210 509 68579 15944
p 2 0 7768 392 23845 10044
p 2 436 7468 256 65669 16037
p 2 0 7777 383 25972 9976
p 2 58 7671 431 48015 13322
p 2 0 7711 449 22384 9996
p 2 98 7506 556 49665 13401
p 2 0 7640 520 22123 9892
p 2 567 7176 417 73869 16576
p 2 0 7758 402 24734 9939
p 2 506 6957 697 70985 16255
p 2 21 7693 446 25560 10547
p 2 481 7112 567 70641 16057
p 2 55 7748 357 25846 10736
p 2 135 7425 600 53910 13514
p 2 24 7840 296 26565 10656
p 2 108 7386 666 50008 13184
p 2 11 7537 612 25078 9892
p 2 441 6995 724 63655 15127
p 2 6 7575 579 22791 9728
p 2 557 6946 657 65096 15281
p 2 0 7604 556 22452 9725
p 2 520 7047 593 65124 15302
p 2 0 7481 679 23565 9635
p 2 176 7444 540 50443 13149
p 2 0 7342 818 23529 9759
p 2 202 7450 508 53737 13257
p 2 0 7333 827 24765 9926
p 2 341 7215 604 66106 14567
p 2 0 7407 753 26879 9924
p 2 442 7186 532 69025 15099
p 2 0 7343 817 25692 9949
p 2 437 7128 595 68116 15044
p 2 0 7597 563 25498 10525
p 2 108 7462 590 52780 12917
p 2 9 7561 590 25918 10189
p 2 106 7634 420 54443 13490
p 2 14 7390 756 25536 10142
i 2 8160 0 0 96763 28481
p 2 15 7146 999 23635 9020
p 2 71 7778 311 39700 11561
p 2 6 7466 688 22421 9373
p 2 57 7432 671 40862 11532
p 2 5 7509 646 21660 9507
p 2 199 7344 617 48652 12415
p 2 6 7785 369 23355 9734
p 2 216 7298 646 47702 12515
p 2 2 7863 295 22246 9778
p 2 160 7521 479 45707 12361
p 2 1 7798 361 21549 9664
p 2 160 7462 538 45609 12183
p 2 7 7784 369 23119 9835
p 2 497 6973 690 58424 14060
p 2 45 7790 325 24144 10104
p 2 225 7013 922 48133 12344
p 2 58 7676 426 23617 10109
p 2 213 7114 833 49980 12445
p 2 57 7693 410 23693 10076
p 2 530 6817 813 58220 14133
p 2 52 7700 408 24260 10148
p 2 606 6802 752 61266 14729
p 2 56 7748 356 24189 10221
p 2 205 7188 767 55382 13460
p 2 3 7862 295 24692 10336
p 2 453 7089 618 69202 15217
p 2 5 7613 542 23611 10146
p 2 450 7185 525 71263 15391
p 2 0 7528 632 23914 10275
p 2 339 7461 360 69646 14967
p 2 1 7646 513 24286 10421
p 2 44 7566 550 53583 12695
p 2 4 7643 513 25803 10214
p 2 103 7522 535 58962 13276
p 2 2 7687 471 26032 10174
p 2 145 7478 537 51019 12879
p 2 4 7377 779 23995 9973
p 2 104 7430 626 52494 12728
p 2 1 7455 704 24618 10066
p 2 328 7201 631 60684 14271
p 2 4 7509 647 24423 10314
