# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 8160 0 0 23118 22578
p 2 1197 3623 3340 24476 8330
p 2 1150 3764 3246 19450 9032
p 2 1173 6131 856 35029 12643
p 2 1237 5734 1189 35214 12417
p 2 1130 6447 583 38482 14142
p 2 1414 6433 313 48758 15486
p 2 1256 6630 274 45314 15625
p 2 1265 6659 236 51291 15940
p 2 1254 6751 155 50728 16781
p 2 1152 6727 281 51214 16095
p 2 1313 6672 175 53635 17467
p 2 1184 6738 238 56319 16799
p 2 1251 6806 103 58145 17833
p 2 1276 6788 96 63596 17911
p 2 1179 6885 96 61600 18193
p 2 1071 6926 163 58049 17120
p 2 1027 7028 105 55428 17124
p 2 1038 6968 154 57032 17014
p 2 984 7021 155 52107 17015
p 2 1004 6980 176 55169 16847
p 2 913 6960 287 42012 16058
p 2 892 6961 307 44059 15769
p 2 804 6983 373 36193 14937
p 2 168 7334 658 30171 12183
p 2 93 7718 349 29278 12217
p 2 10 7260 890 19282 9973
p 2 10 7454 696 19084 9909
p 2 0 7402 758 20212 9710
p 2 0 7357 803 18161 9339
p 2 0 7324 836 17229 9213
p 2 0 7371 789 17659 9195
p 2 0 7182 978 16815 8917
p 2 0 7535 625 18175 9352
p 2 0 7283 877 17887 9182
p 2 4 7455 701 17510 9255
p 2 0 7354 806 17991 9141
p 2 0 7385 775 18331 9166
p 2 0 7337 823 18632 8929
p 2 0 7413 747 17928 9143
p 2 0 7531 629 17506 9239
p 2 0 7546 614 17808 9180
p 2 0 7658 502 17983 9329
p 2 0 7480 680 18442 9222
p 2 0 7632 528 17514 9189
p 2 0 7520 640 17700 9056
p 2 0 7633 527 18208 9111
p 2 0 7480 680 19265 9043
p 2 0 7865 295 19700 9711
p 2 0 7472 688 17558 9151
p 2 0 7452 708 18242 9140
p 2 0 7437 723 18486 9079
p 2 0 7582 578 20378 9302
p 2 0 7412 748 18579 9101
p 2 0 7733 427 19398 9426
p 2 0 7725 435 19927 9575
p 2 0 7784 376 20658 9811
p 2 3 7524 633 21287 9671
p 2 0 7619 541 18997 9574
p 2 0 7544 616 18971 9387
p 2 0 7727 433 19535 9540
p 2 0 7430 730 21329 9330
p 2 0 7556 604 18759 9243
p 2 0 7499 661 18242 9182
p 2 0 7639 521 18424 9345
p 2 0 7494 666 18500 9253
p 2 0 7564 596 19997 9285
p 2 0 7478 682 17706 9052
p 2 0 7555 605 18137 9136
p 2 0 7538 622 18992 9179
p 2 0 7621 539 20197 9243
p 2 2 7433 725 18526 9084
p 2 2 7543 615 18287 9148
p 2 0 7515 645 18650 9256
p 2 0 7666 494 19019 9311
p 2 0 7512 648 20313 9150
p 2 0 7805 355 19998 9534
p 2 0 7617 543 19190 9270
p 2 0 7796 364 18783 9417
p 2 0 7583 577 19383 9328
p 2 0 7714 446 19742 9436
p 2 0 7453 707 18554 9121
p 2 0 7703 457 18891 9395
p 2 0 7444 716 19413 9259
p 2 0 7557 603 20812 9334
p 2 1 7482 677 22538 9300
p 2 0 7375 785 18524 9102
p 2 0 7484 676 18971 9326
p 2 0 7522 638 19969 9258
p 2 0 7463 697 19347 9167
p 2 0 7578 582 18982 9261
p 2 0 7409 751 20344 9166
p 2 0 7606 554 18995 9267
p 2 0 7409 751 20740 9243
p 2 3 7680 477 21983 9623
p 2 0 7477 683 19314 9335
p 2 0 7874 286 21883 10114
p 2 4 7150 1006 21168 9166
p 2 0 7598 562 19707 9441
p 2 0 7263 897 21038 9208
p 2 1 7575 584 21067 9418
p 2 0 7265 895 18576 9001
p 2 0 7493 667 18568 9209
p 2 3 7303 854 20247 9119
p 2 0 7424 736 18215 9121
p 2 0 7209 951 18820 8972
p 2 1 7437 722 20807 9260
p 2 0 7222 938 19367 8885
p 2 0 7563 597 21611 9274
i 2 8160 0 0 144326 26479
p 2 0 3044 5116 4810 3868
p 2 0 2534 5626 3676 3355
p 2 0 1104 7056 2231 2079
p 2 0 824 7336 1906 1818
p 2 0 321 7839 1444 1382
p 2 0 405 7755 1575 1450
p 2 0 444 7716 1594 1480
p 2 0 158 8002 1288 1244
p 2 0 436 7724 1821 1490
p 2 0 768 7392 2165 1787
p 2 0 581 7579 1765 1621
p 2 0 313 7847 1471 1370
p 2 0 300 7860 1447 1359
p 2 0 260 7900 1479 1333
p 2 0 247 7913 1392 1319
p 2 0 259 7901 1412 1322
p 2 0 465 7695 1931 1540
